start,end,file
136.390,136.990,229.mp3
136.990,137.591,230.mp3
137.591,138.191,231.mp3
138.191,138.792,232.mp3
138.792,139.393,233.mp3
139.393,139.993,234.mp3
139.993,140.594,235.mp3
140.594,141.194,236.mp3
141.194,141.795,237.mp3
141.795,142.395,238.mp3
142.395,142.996,239.mp3
142.996,143.596,240.mp3
143.596,144.197,241.mp3
144.197,144.797,242.mp3
144.797,145.398,243.mp3
145.398,145.998,244.mp3
145.998,146.599,245.mp3
146.599,147.199,246.mp3
147.199,147.800,247.mp3
147.800,148.401,248.mp3
148.401,149.001,249.mp3
149.001,149.602,250.mp3
149.602,150.202,251.mp3
150.202,150.803,252.mp3
150.803,151.403,253.mp3
151.403,152.004,254.mp3
152.004,152.558,255.mp3

ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 0.000 -to 0.068 -c:a libmp3lame -q:a 2 "audio/your-song/001.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 0.068 -to 0.669 -c:a libmp3lame -q:a 2 "audio/your-song/002.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 0.669 -to 1.269 -c:a libmp3lame -q:a 2 "audio/your-song/003.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 1.269 -to 1.870 -c:a libmp3lame -q:a 2 "audio/your-song/004.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 1.870 -to 2.471 -c:a libmp3lame -q:a 2 "audio/your-song/005.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 2.471 -to 3.071 -c:a libmp3lame -q:a 2 "audio/your-song/006.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 3.071 -to 3.672 -c:a libmp3lame -q:a 2 "audio/your-song/007.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 3.672 -to 4.272 -c:a libmp3lame -q:a 2 "audio/your-song/008.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 4.272 -to 4.873 -c:a libmp3lame -q:a 2 "audio/your-song/009.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 4.873 -to 5.473 -c:a libmp3lame -q:a 2 "audio/your-song/010.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 5.473 -to 6.074 -c:a libmp3lame -q:a 2 "audio/your-song/011.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 6.074 -to 6.674 -c:a libmp3lame -q:a 2 "audio/your-song/012.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 6.674 -to 7.275 -c:a libmp3lame -q:a 2 "audio/your-song/013.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 7.275 -to 7.875 -c:a libmp3lame -q:a 2 "audio/your-song/014.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 7.875 -to 8.476 -c:a libmp3lame -q:a 2 "audio/your-song/015.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 8.476 -to 9.076 -c:a libmp3lame -q:a 2 "audio/your-song/016.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 9.076 -to 9.677 -c:a libmp3lame -q:a 2 "audio/your-song/017.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 9.677 -to 10.277 -c:a libmp3lame -q:a 2 "audio/your-song/018.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 10.277 -to 10.878 -c:a libmp3lame -q:a 2 "audio/your-song/019.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 10.878 -to 11.479 -c:a libmp3lame -q:a 2 "audio/your-song/020.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 11.479 -to 12.079 -c:a libmp3lame -q:a 2 "audio/your-song/021.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 12.079 -to 12.680 -c:a libmp3lame -q:a 2 "audio/your-song/022.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 12.680 -to 13.280 -c:a libmp3lame -q:a 2 "audio/your-song/023.mp3"
